iter	Passed	Remaining
0	4	4541
1	8	4078
2	12	4086
3	16	4001
4	19	3950
5	23	3918
6	27	3935
7	31	3919
8	35	3918
9	39	3903
10	43	3893
11	47	3889
12	50	3861
13	54	3849
14	58	3845
15	62	3843
16	66	3839
17	70	3842
18	74	3828
19	78	3829
20	82	3824
21	86	3829
22	89	3818
23	94	3824
24	97	3811
25	101	3802
26	105	3805
27	109	3807
28	113	3808
29	117	3802
30	121	3796
31	125	3787
32	129	3786
33	133	3779
34	136	3777
35	140	3765
36	144	3764
37	148	3759
38	153	3770
39	157	3768
40	161	3767
41	164	3756
42	168	3746
43	172	3740
44	176	3735
45	180	3733
46	183	3725
47	187	3726
48	191	3717
49	195	3713
50	199	3708
51	203	3707
52	206	3698
53	210	3695
54	214	3688
55	218	3686
56	222	3681
57	226	3676
58	230	3671
59	233	3661
60	237	3660
61	241	3652
62	245	3645
63	248	3641
64	252	3633
65	256	3630
66	260	3626
67	264	3620
68	268	3617
69	271	3612
70	275	3606
71	279	3599
72	283	3595
73	286	3590
74	290	3585
75	294	3581
76	298	3577
77	302	3574
78	306	3570
79	310	3567
80	313	3562
81	317	3556
82	321	3552
83	325	3548
84	329	3551
85	333	3547
86	337	3546
87	342	3545
88	345	3540
89	349	3535
90	353	3531
91	357	3527
92	361	3523
93	364	3517
94	368	3512
95	372	3506
96	376	3501
97	379	3495
98	383	3490
99	387	3490
100	391	3486
101	395	3480
102	399	3475
103	403	3473
104	406	3467
105	410	3462
106	414	3459
107	418	3454
108	422	3449
109	425	3444
110	429	3440
111	433	3433
112	436	3428
113	440	3424
114	444	3419
115	448	3414
116	451	3410
117	455	3405
118	459	3402
119	463	3397
120	467	3393
121	470	3388
122	474	3386
123	478	3380
124	482	3375
125	485	3369
126	489	3365
127	493	3360
128	497	3356
129	500	3352
130	504	3348
131	508	3344
132	512	3337
133	516	3334
134	519	3329
135	523	3326
136	527	3323
137	531	3320
138	535	3319
139	539	3315
140	543	3309
141	546	3303
142	550	3299
143	554	3294
144	558	3292
145	562	3287
146	565	3283
147	569	3278
148	573	3275
149	577	3272
150	581	3269
151	585	3264
152	589	3261
153	592	3256
154	596	3251
155	600	3248
156	604	3243
157	608	3240
158	611	3236
159	615	3232
160	619	3226
161	623	3224
162	627	3220
163	630	3215
164	634	3211
165	638	3209
166	642	3205
167	646	3199
168	650	3196
169	653	3191
170	657	3189
171	661	3185
172	665	3181
173	669	3176
174	672	3171
175	676	3167
176	680	3164
177	684	3160
178	688	3156
179	692	3152
180	695	3148
181	699	3145
182	703	3140
183	707	3137
184	711	3133
185	715	3129
186	718	3124
187	722	3121
188	726	3117
189	731	3116
190	734	3111
191	738	3109
192	742	3105
193	746	3100
194	749	3095
195	753	3092
196	757	3088
197	761	3083
198	765	3079
199	768	3075
200	772	3072
201	776	3067
202	780	3063
203	784	3059
204	788	3056
205	791	3051
206	795	3047
207	799	3045
208	803	3041
209	807	3037
210	811	3033
211	815	3030
212	818	3025
213	822	3022
214	826	3018
215	830	3014
216	834	3011
217	838	3008
218	842	3004
219	846	3000
220	849	2996
221	853	2992
222	857	2988
223	861	2985
224	865	2982
225	869	2978
226	874	2976
227	878	2972
228	882	2970
229	886	2967
230	889	2962
231	893	2958
232	897	2953
233	900	2949
234	905	2946
235	908	2942
236	912	2938
237	916	2934
238	920	2931
239	924	2928
240	929	2925
